track_id,track_name,track_artists
0Jiaz0O4AqnJICa9PxHhaR,Mahiye Jinna Sohna,Darshan Raval
05Wws4HqfGzbqRLH0smbpD,"Yeh Sham Mastani (From ""Kati Patang"")",Kishore Kumar
2nNWk4r1iYmJcb7T6PUyPC,Thank You for Being You,Jake Banfield
1aEsTgCsv8nOjEgyEoRCpS,this is how you fall in love,"Jeremy Zucker,Chelsea Cutler"
2eAvDnpXP5W0cVtiI0PUxV,Dandelions,Ruth B.
0Xf1lj3RisQlWR2dqp22Zk,Tu Yaheen Hai,Shehnaaz Gill
5odlY52u43F5BjByhxg7wg,golden hour,JVKE
2gMXnyrvIjhVBUZwvLZDMP,Before You Go,Lewis Capaldi
0uqgIA0B69yBciMNjYukKr,I Am Yours,Andy Grammer
1J14CdDAvBTE1AJYUOwl6C,Arcade,Duncan Laurence
0QHEIqNKsMoOY5urbzN48u,Made You Look,Meghan Trainor
7l1qvxWjxcKpB9PCtBuTbU,Count on Me,Bruno Mars
5fSVR4vH1VUUmYq9AnFu4p,Don't Give Up On Me,Andy Grammer
2q9lPN7CT92W1Ry77j2acn,"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")","Pritam,Arijit Singh,Shreya Ghoshal,Shadab Faridi,Altamash Faridi,Amitabh Bhattacharya"
4CxFN5zON70B3VOPBYbd6P,you were good to me,"Jeremy Zucker,Chelsea Cutler"
5J5h8d9wvvdHQNnuF4rkPJ,Abhi Na Jao Chhod Kar,"Asha Bhosle,Mohammed Rafi"
3vvDDWbbMqwQcsDH3yvuev,I Won't Give Up,Christina Grimmie
3kyCCckpW6tpCq22RH8vOp,"Laadki (From ""Angrezi Medium"")","Rekha Bhardwaj,Sachin-Jigar"
7wVHizRrYy5LCX7QfwsxNJ,I Won't Give Up,Christina Grimmie
6D60klaHqbCl9ySc8VcRss,Stronger (What Doesn't Kill You),Kelly Clarkson
7KYItmZqiTnvfuO42oc6Og,Agar Tu Hota,Ankit Tiwari
1VqpkFch0VW2l8UUSQweRF,Yaar Ve,"Arijit Singh,Vipin Patwa,Kumaar"
